name,team
Shkodran Mustafi,Arsenal
Héctor Bellerín,Arsenal
Sead Kolasinac,Arsenal
Ainsley Maitland-Niles,Arsenal
Sokratis Papastathopoulos,Arsenal
Nacho Monreal,Arsenal
Laurent Koscielny,Arsenal
Konstantinos Mavropanos,Arsenal
Carl Jenkinson,Arsenal
Rob Holding,Arsenal
Pierre-Emerick Aubameyang,Arsenal
Alexandre Lacazette,Arsenal
Edward Nketiah,Arsenal
Bernd Leno,Arsenal
Mesut Özil,Arsenal
Henrikh Mkhitaryan,Arsenal
Granit Xhaka,Arsenal
Lucas Torreira,Arsenal
Mohamed Elneny,Arsenal
Matteo Guendouzi,Arsenal
David Luiz Moreira Marinho,Arsenal
Emiliano Martínez,Arsenal
Calum Chambers,Arsenal
Daniel Ceballos Fernández,Arsenal
Cédric Soares,Arsenal
Nicolas Pépé,Arsenal
Reiss Nelson,Arsenal
Joseph Willock,Arsenal
Gabriel Teodoro Martinelli Silva,Arsenal
Kieran Tierney,Arsenal
Bukayo Saka,Arsenal
Emile Smith Rowe,Arsenal
Tyreece John-Jules,Arsenal
Pablo Marí,Arsenal
Zech Medley,Arsenal
Matt Macey,Arsenal
Matthew Smith,Arsenal
Ahmed El Mohamady,Aston Villa
James Chester,Aston Villa
Neil Taylor,Aston Villa
Kortney Hause,Aston Villa
Jonathan Kodjia,Aston Villa
Ørjan Nyland,Aston Villa
Conor Hourihane,Aston Villa
Jack Grealish,Aston Villa
Anwar El Ghazi,Aston Villa
John McGinn,Aston Villa
Andre Green,Aston Villa
Birkir Bjarnason,Aston Villa
Keinan Davis,Aston Villa
Henri Lansbury,Aston Villa
José Ignacio Peleteiro Romallo,Aston Villa
Tom Heaton,Aston Villa
Daniel Drinkwater,Aston Villa
Matt Targett,Aston Villa
Wesley Moraes,Aston Villa
Jed Steer,Aston Villa
Tyrone Mings,Aston Villa
Ezri Konsa Ngoyo,Aston Villa
Bjorn Engels,Aston Villa
Frédéric Guilbert,Aston Villa
Mahmoud Ahmed Ibrahim Hassan,Aston Villa
Douglas Luiz Soares de Paulo,Aston Villa
Lovre Kalinic,Aston Villa
Marvelous Nakamba,Aston Villa
Indiana Vassilev,Aston Villa
José Reina,Aston Villa
Mbwana Samatta,Aston Villa
Borja González Tomás,Aston Villa
Kaine Hayden,Aston Villa
Steve Cook,Bournemouth
Nathan Aké,Bournemouth
Charlie Daniels,Bournemouth
Chris Mepham,Bournemouth
Simon Francis,Bournemouth
Adam Smith,Bournemouth
Lloyd Kelly,Bournemouth
Diego Rico,Bournemouth
Jack Simpson,Bournemouth
Callum Wilson,Bournemouth
Joshua King,Bournemouth
Dominic Solanke,Bournemouth
Sam Surridge,Bournemouth
Asmir Begovic,Bournemouth
Artur Boruc,Bournemouth
Mark Travers,Bournemouth
Ryan Fraser,Bournemouth
David Brooks,Bournemouth
Junior Stanislas,Bournemouth
Jordon Ibe,Bournemouth
Lewis Cook,Bournemouth
Andrew Surman,Bournemouth
Dan Gosling,Bournemouth
Jefferson Lerma,Bournemouth
Jack Stacey,Bournemouth
Philip Billing,Bournemouth
Arnaut Danjuma Groeneveld,Bournemouth
Aaron Ramsdale,Bournemouth
Harry Wilson,Bournemouth
Christian Saydee,Bournemouth
Gavin Kilkenny,Bournemouth
Mihai-Alexandru Dobre,Bournemouth
Shane Duffy,Brighton
Martín Montoya,Brighton
Bernardo Fernandes da Silva Junior,Brighton
Leon Balogun,Brighton
Gaëtan Bong,Brighton
Lewis Dunk,Brighton
Matthew Clarke,Brighton
Glenn Murray,Brighton
Jürgen Locadia,Brighton
Florin Andone,Brighton
Mathew Ryan,Brighton
David Button,Brighton
Pascal Groß,Brighton
Alireza Jahanbakhsh,Brighton
José Heriberto Izquierdo Mena,Brighton
Anthony Knockaert,Brighton
Yves Bissouma,Brighton
Davy Pröpper,Brighton
Solomon March,Brighton
Beram Kayal,Brighton
Dale Stephens,Brighton
Leandro Trossard,Brighton
Dan Burn,Brighton
Adam Webster,Brighton
Neal Maupay,Brighton
Aaron Mooy,Brighton
Aaron Connolly,Brighton
Tudor Baluta,Brighton
Steven Alzate,Brighton
Ezequiel Schelotto,Brighton
Tariq Lamptey,Brighton
Alexis Mac Allister,Brighton
Alex Cochrane,Brighton
Ben Mee,Burnley
James Tarkowski,Burnley
Matthew Lowton,Burnley
Phil Bardsley,Burnley
Charlie Taylor,Burnley
Kevin Long,Burnley
Ben Gibson,Burnley
Ashley Barnes,Burnley
Chris Wood,Burnley
Matej Vydra,Burnley
Nick Pope,Burnley
Joe Hart,Burnley
Johann Berg Gudmundsson,Burnley
Dwight McNeil,Burnley
Robbie Brady,Burnley
Steven Defour,Burnley
Jeff Hendrick,Burnley
Ashley Westwood,Burnley
Jack Cork,Burnley
Aaron Lennon,Burnley
Erik Pieters,Burnley
Jay Rodriguez,Burnley
Bailey Peacock-Farrell,Burnley
Mace Goodridge,Burnley
Anthony Driscoll-Glennon,Burnley
Abd-Al-Ali Morakinyo Olaposi Koiki,Burnley
Josh Brownhill,Burnley
Jimmy Dunne,Burnley
Bobby Thomas,Burnley
Max Thompson,Burnley
Lukas Jensen,Burnley
Josh Benson,Burnley
Joel Mumbongo,Burnley
Marcos Alonso,Chelsea
Antonio Rüdiger,Chelsea
César Azpilicueta,Chelsea
Emerson Palmieri dos Santos,Chelsea
Andreas Christensen,Chelsea
Davide Zappacosta,Chelsea
Olivier Giroud,Chelsea
Kepa Arrizabalaga,Chelsea
Willy Caballero,Chelsea
Willian Borges Da Silva,Chelsea
Pedro Rodríguez Ledesma,Chelsea
Ruben Loftus-Cheek,Chelsea
Callum Hudson-Odoi,Chelsea
Ross Barkley,Chelsea
Jorge Luiz Frello Filho,Chelsea
N'Golo Kanté,Chelsea
Ethan Ampadu,Chelsea
Christian Pulisic,Chelsea
Mateo Kovacic,Chelsea
Kurt Zouma,Chelsea
Tammy Abraham,Chelsea
Michy Batshuayi,Chelsea
Robert Kenedy Nunes do Nascimento,Chelsea
Mason Mount,Chelsea
Reece James,Chelsea
Fikayo Tomori,Chelsea
Billy Gilmour,Chelsea
Addji Keaninkin Marc-Israel Guehi,Chelsea
Faustino Anjorin,Chelsea
Armando Broja,Chelsea
Lewis Bate,Chelsea
Patrick van Aanholt,Crystal Palace
James Tomkins,Crystal Palace
Mamadou Sakho,Crystal Palace
Joel Ward,Crystal Palace
Scott Dann,Crystal Palace
Martin Kelly,Crystal Palace
Christian Benteke,Crystal Palace
Connor Wickham,Crystal Palace
Vicente Guaita,Crystal Palace
Wayne Hennessey,Crystal Palace
Wilfried Zaha,Crystal Palace
Luka Milivojevic,Crystal Palace
Andros Townsend,Crystal Palace
Max Meyer,Crystal Palace
Jeffrey Schlupp,Crystal Palace
James McArthur,Crystal Palace
Cheikhou Kouyaté,Crystal Palace
Luke Dreher,Crystal Palace
James McCarthy,Crystal Palace
Jordan Ayew,Crystal Palace
Gary Cahill,Crystal Palace
Víctor Camarasa,Crystal Palace
Jairo Riedewald,Crystal Palace
Stephen Henderson,Crystal Palace
Sam Woods,Crystal Palace
Tyrick Mitchell,Crystal Palace
Brandon Pierrick,Crystal Palace
James Daly,Crystal Palace
Nya Kirby,Crystal Palace
Giovanni McGregor,Crystal Palace
Nikola Tavares,Crystal Palace
John-Kymani Gordon,Crystal Palace
Alex Iwobi,Everton
Lucas Digne,Everton
Yerry Mina,Everton
Michael Keane,Everton
Seamus Coleman,Everton
Leighton Baines,Everton
Cenk Tosun,Everton
Dominic Calvert-Lewin,Everton
Jordan Pickford,Everton
Maarten Stekelenburg,Everton
Richarlison de Andrade,Everton
Gylfi Sigurdsson,Everton
Bernard Anício Caldeira Duarte,Everton
Theo Walcott,Everton
Tom Davies,Everton
Ademola Lookman,Everton
Idrissa Gueye,Everton
Morgan Schneiderlin,Everton
Fabian Delph,Everton
André Filipe Tavares Gomes,Everton
Lewis Gibson,Everton
Mason Holgate,Everton
Jonas Lössl,Everton
Moise Kean,Everton
Jean-Philippe Gbamin,Everton
Djibril Sidibé,Everton
Beni Baningime,Everton
Anthony Gordon,Everton
Oumar Niasse,Everton
Rhu-endly Martina,Everton
João Manuel Neves Virgínia,Everton
Jarrad Branthwaite,Everton
Ellis Simms,Everton
Ricardo Domingos Barbosa Pereira,Leicester
Benjamin Chilwell,Leicester
Jonny Evans,Leicester
Christian Fuchs,Leicester
Çaglar Söyüncü,Leicester
Wes Morgan,Leicester
Jamie Vardy,Leicester
Kelechi Iheanacho,Leicester
Kasper Schmeichel,Leicester
Eldin Jakupovic,Leicester
Danny Ward,Leicester
James Maddison,Leicester
Harvey Barnes,Leicester
Rachid Ghezzal,Leicester
Marc Albrighton,Leicester
Demarai Gray,Leicester
Wilfred Ndidi,Leicester
Matty James,Leicester
Daniel Amartey,Leicester
Nampalys Mendy,Leicester
Hamza Choudhury,Leicester
Ayoze Pérez,Leicester
Ryan Bennett,Leicester
James Justin,Leicester
Youri Tielemans,Leicester
Andy King,Leicester
Dennis Praet,Leicester
Filip Benkovic,Leicester
Luke Thomas,Leicester
George Hirst,Leicester
Darnell Johnson,Leicester
Andrew Robertson,Liverpool
Trent Alexander-Arnold,Liverpool
Virgil van Dijk,Liverpool
Joseph Gomez,Liverpool
Joel Matip,Liverpool
Dejan Lovren,Liverpool
Roberto Firmino,Liverpool
Divock Origi,Liverpool
Alisson Ramses Becker,Liverpool
Simon Mignolet,Liverpool
Mohamed Salah,Liverpool
Sadio Mané,Liverpool
Alex Oxlade-Chamberlain,Liverpool
Xherdan Shaqiri,Liverpool
Adam Lallana,Liverpool
Naby Keita,Liverpool
Fabio Henrique Tavares,Liverpool
Jordan Henderson,Liverpool
Georginio Wijnaldum,Liverpool
James Milner,Liverpool
Rafael Camacho,Liverpool
Rhian Brewster,Liverpool
Adrián San Miguel del Castillo,Liverpool
Andy Lonergan,Liverpool
Caoimhin Kelleher,Liverpool
Harvey Elliott,Liverpool
Curtis Jones,Liverpool
Neco Williams,Liverpool
Nathaniel Phillips,Liverpool
Takumi Minamino,Liverpool
Ki-Jana Hoever,Liverpool
Aymeric Laporte,Man City
Kyle Walker,Man City
Benjamin Mendy,Man City
Oleksandr Zinchenko,Man City
John Stones,Man City
Nicolás Otamendi,Man City
Danilo Luiz da Silva,Man City
Sergio Agüero,Man City
Gabriel Fernando de Jesus,Man City
Ederson Santana de Moraes,Man City
Claudio Bravo,Man City
Raheem Sterling,Man City
Kevin De Bruyne,Man City
Leroy Sané,Man City
Riyad Mahrez,Man City
Bernardo Mota Veiga de Carvalho e Silva,Man City
David Silva,Man City
Phil Foden,Man City
Fernando Luiz Rosa,Man City
Ilkay Gündogan,Man City
José Ángel Esmorís Tasende,Man City
Rodrigo Hernandez,Man City
João Pedro Cavaco Cancelo,Man City
Eric Garcia,Man City
Scott Carson,Man City
Taylor Harwood-Bellis,Man City
Cole Palmer,Man City
Tommy Doyle,Man City
Aaron Wan-Bissaka,Man Utd
Harry Maguire,Man Utd
Chris Smalling,Man Utd
Ashley Young,Man Utd
Victor Lindelöf,Man Utd
Luke Shaw,Man Utd
Marcos Rojo,Man Utd
Eric Bailly,Man Utd
José Diogo Dalot Teixeira,Man Utd
Matteo Darmian,Man Utd
Phil Jones,Man Utd
Romelu Lukaku,Man Utd
Marcus Rashford,Man Utd
Mason Greenwood,Man Utd
David de Gea,Man Utd
Sergio Romero,Man Utd
Lee Grant,Man Utd
Paul Pogba,Man Utd
Anthony Martial,Man Utd
Alexis Sánchez,Man Utd
Jesse Lingard,Man Utd
Juan Mata,Man Utd
Daniel James,Man Utd
Frederico Rodrigues de Paula Santos,Man Utd
Angel Gomes,Man Utd
Andreas Pereira,Man Utd
Nemanja Matic,Man Utd
Scott McTominay,Man Utd
Tahith Chong,Man Utd
James Garner,Man Utd
Axel Tuanzebe,Man Utd
Brandon Williams,Man Utd
Bruno Miguel Borges Fernandes,Man Utd
Odion Ighalo,Man Utd
Timothy Fosu-Mensah,Man Utd
Matt Ritchie,Newcastle
Fabian Schär,Newcastle
DeAndre Yedlin,Newcastle
Federico Fernández,Newcastle
Paul Dummett,Newcastle
Javier Manquillo,Newcastle
Florian Lejeune,Newcastle
Jamaal Lascelles,Newcastle
Ciaran Clark,Newcastle
Yoshinori Muto,Newcastle
Jose Luis Mato Sanmartín,Newcastle
Martin Dubravka,Newcastle
Karl Darlow,Newcastle
Frederick Woodman,Newcastle
Miguel Almirón,Newcastle
Christian Atsu,Newcastle
Sung-yueng Ki,Newcastle
Jonjo Shelvey,Newcastle
Sean Longstaff,Newcastle
Isaac Hayden,Newcastle
Danny Rose,Newcastle
Joelinton Cássio Apolinário de Lira,Newcastle
Jack Colback,Newcastle
Jacob Murphy,Newcastle
Jetro Willems,Newcastle
Rolando Aarons,Newcastle
Allan Saint-Maximin,Newcastle
Emil Krafth,Newcastle
Andy Carroll,Newcastle
Matthew Longstaff,Newcastle
Dwight Gayle,Newcastle
Robert Elliot,Newcastle
Thomas Allan,Newcastle
Kelland Watts,Newcastle
Liam Gibson,Newcastle
Nabil Bentaleb,Newcastle
Valentino Lazaro,Newcastle
Jack Young,Newcastle
Timm Klose,Norwich
Ben Godfrey,Norwich
Maximillian Aarons,Norwich
Christoph Zimmermann,Norwich
Jamal Lewis,Norwich
Grant Hanley,Norwich
Teemu Pukki,Norwich
Dennis Srbeny,Norwich
Tim Krul,Norwich
Michael McGovern,Norwich
Mario Vrancic,Norwich
Emiliano Buendía,Norwich
Onel Hernández,Norwich
Marco Stiepermann,Norwich
Kenny McLean,Norwich
Todd Cantwell,Norwich
Moritz Leitner,Norwich
Alexander Tettey,Norwich
Tom Trybull,Norwich
Josip Drmic,Norwich
Patrick Roberts,Norwich
Ralf Fahrmann,Norwich
Sam Byram,Norwich
Philip Heise,Norwich
Ibrahim Amadou,Norwich
Adam Idah,Norwich
Archie Mair,Norwich
Akin Famewo,Norwich
Ondrej Duda,Norwich
Lukas Rupp,Norwich
Josh Martin,Norwich
Jordan Thomas,Norwich
Daniel Adshead,Norwich
Lys Mousset,Sheffield Utd
Enda Stevens,Sheffield Utd
Kieron Freeman,Sheffield Utd
Jack O'Connell,Sheffield Utd
George Baldock,Sheffield Utd
John Egan,Sheffield Utd
Richard Stearman,Sheffield Utd
John Lundstram,Sheffield Utd
Billy Sharp,Sheffield Utd
Jake Eastwood,Sheffield Utd
Mark Duffy,Sheffield Utd
John Fleck,Sheffield Utd
Oliver Norwood,Sheffield Utd
David McGoldrick,Sheffield Utd
Chris Basham,Sheffield Utd
Simon Moore,Sheffield Utd
Luke Freeman,Sheffield Utd
Phil Jagielka,Sheffield Utd
Callum Robinson,Sheffield Utd
Ravel Morrison,Sheffield Utd
Dean Henderson,Sheffield Utd
Ben Osborn,Sheffield Utd
Oliver McBurnie,Sheffield Utd
Michael Verrips,Sheffield Utd
Muhamed Bešić,Sheffield Utd
Leon Clarke,Sheffield Utd
Jack Rodwell,Sheffield Utd
Jack Robinson,Sheffield Utd
Sander Berge,Sheffield Utd
Richairo Zivkovic,Sheffield Utd
Panagiotis Retsos,Sheffield Utd
Jannik Vestergaard,Southampton
Ryan Bertrand,Southampton
Yan Valery,Southampton
Jan Bednarek,Southampton
Jack Stephens,Southampton
Maya Yoshida,Southampton
Kayne Ramsay,Southampton
Charlie Austin,Southampton
Danny Ings,Southampton
Michael Obafemi,Southampton
Shane Long,Southampton
Sam Gallagher,Southampton
Fraser Forster,Southampton
Alex McCarthy,Southampton
Angus Gunn,Southampton
Nathan Redmond,Southampton
James Ward-Prowse,Southampton
Mohamed Elyounoussi,Southampton
Stuart Armstrong,Southampton
Mario Lemina,Southampton
Pierre-Emile Højbjerg,Southampton
Tyreke Johnson,Southampton
Callum Slattery,Southampton
Oriol Romeu Vidal,Southampton
Kyle Walker-Peters,Southampton
Che Adams,Southampton
Moussa Djenepo,Southampton
Wesley Hoedt,Southampton
Sofiane Boufal,Southampton
Kevin Danso,Southampton
Daniel N'Lundulu,Southampton
Harry Lewis,Southampton
William Smallbone,Southampton
Nathan Tella,Southampton
Jake Vokins,Southampton
Alexandre Jankewitz,Southampton
Will Ferry,Southampton
Jacob Maddox,Southampton
Ben Davies,Spurs
Jan Vertonghen,Spurs
Toby Alderweireld,Spurs
Davinson Sánchez,Spurs
Kieran Trippier,Spurs
Juan Foyth,Spurs
Serge Aurier,Spurs
Harry Kane,Spurs
Vincent Janssen,Spurs
Hugo Lloris,Spurs
Paulo Gazzaniga,Spurs
Heung-Min Son,Spurs
Christian Eriksen,Spurs
Bamidele Alli,Spurs
Lucas Rodrigues Moura da Silva,Spurs
Erik Lamela,Spurs
Harry Winks,Spurs
Victor Wanyama,Spurs
Moussa Sissoko,Spurs
Eric Dier,Spurs
Luke Amos,Spurs
Oliver Skipp,Spurs
Tanguy Ndombele,Spurs
Troy Parrott,Spurs
Giovani Lo Celso,Spurs
Ryan Sessegnon,Spurs
Georges-Kévin Nkoudou,Spurs
Alfie Whiteman,Spurs
Michel Vorm,Spurs
Brandon Austin,Spurs
Japhet Tanganga,Spurs
Gedson Carvalho Fernandes,Spurs
Steven Bergwijn,Spurs
Harvey White,Spurs
Dennis Cirkin,Spurs
José Holebas,Watford
Christian Kabasele,Watford
Adam Masina,Watford
Adrian Mariappa,Watford
Francisco Femenía Far,Watford
Craig Cathcart,Watford
Daryl Janmaat,Watford
Marc Navarro,Watford
Sebastian Prödl,Watford
Troy Deeney,Watford
Gerard Deulofeu,Watford
Andre Gray,Watford
Isaac Success Ajayi,Watford
Ben Foster,Watford
Pontus Dahlberg,Watford
Abdoulaye Doucouré,Watford
Roberto Pereyra,Watford
Will Hughes,Watford
Tom Cleverley,Watford
Ken Sema,Watford
Etienne Capoue,Watford
Nathaniel Chalobah,Watford
Domingos Quina,Watford
Craig Dawson,Watford
Danny Welbeck,Watford
Heurelho da Silva Gomes,Watford
Ismaïla Sarr,Watford
Dimitri Foulquier,Watford
Ayotomiwa Dele-Bashiru,Watford
João Pedro Junqueira de Jesus,Watford
Ignacio Pussetto,Watford
Adalberto Peñaranda,Watford
Aaron Cresswell,West Ham
Angelo Ogbonna,West Ham
Arthur Masuaku,West Ham
Pablo Zabaleta,West Ham
Ryan Fredericks,West Ham
Issa Diop,West Ham
Fabián Balbuena,West Ham
Winston Reid,West Ham
Ben Johnson,West Ham
Marko Arnautovic,West Ham
Javier Hernández Balcázar,West Ham
Alexandre Nascimento Costa Silva,West Ham
Lukasz Fabianski,West Ham
Michail Antonio,West Ham
Felipe Anderson Pereira Gomes,West Ham
Manuel Lanzini,West Ham
Andriy Yarmolenko,West Ham
Robert Snodgrass,West Ham
Jack Wilshere,West Ham
Declan Rice,West Ham
Mark Noble,West Ham
Carlos Sánchez,West Ham
Grady Diangana,West Ham
Pablo Fornals,West Ham
Pedro Obiang,West Ham
Roberto Jimenez Gago,West Ham
Sébastien Haller,West Ham
Albian Ajeti,West Ham
David Martin,West Ham
Nathan Holland,West Ham
Joseph Anang,West Ham
Jeremy Ngakia,West Ham
Gonçalo Bento Soares Cardoso,West Ham
Bernardo Costa Da Rosa,West Ham
Darren Randolph,West Ham
Tomas Soucek,West Ham
Jarrod Bowen,West Ham
Alfie Lewis,West Ham
Conor Coventry,West Ham
Matt Doherty,Wolves
Jonathan Castro Otto,Wolves
Conor Coady,Wolves
Willy Boly,Wolves
Rúben Gonçalo Silva Nascimento Vinagre,Wolves
Romain Saïss,Wolves
Max Kilman,Wolves
Raúl Jiménez,Wolves
Diogo Jota,Wolves
Rui Pedro dos Santos Patrício,Wolves
John Ruddy,Wolves
Will Norris,Wolves
Rúben Diogo da Silva Neves,Wolves
João Filipe Iria Santos Moutinho,Wolves
Morgan Gibbs-White,Wolves
Adama Traoré,Wolves
Hélder Costa,Wolves
Ivan Cavaleiro,Wolves
Leander Dendoncker,Wolves
Jesús Vallejo Lázaro,Wolves
Patrick Cutrone,Wolves
Pedro Lomba Neto,Wolves
Bernard Ashley-Seal,Wolves
Taylor Perry,Wolves
Owen Otasowie,Wolves
Luke Cundle,Wolves
Oskar Buur,Wolves
Ryan Giles,Wolves
Bruno André Cavaco Jordao,Wolves
Daniel Castelo Podence,Wolves
Leonardo Campana,Wolves
